start;ende;ferien
2018-01-01;2018-01-05;Winter
2018-02-01;2018-02-02;Zeugnisferien
2018-03-19;2018-04-03;Ostern
2018-04-30;2018-04-30;Maifeiertag
2018-05-11;2018-05-11;Himmelfahrt
2018-05-22;2018-05-22;Pfingsten
2018-06-28;2018-08-08;Sommer
2018-10-01;2018-10-12;Herbst
2018-12-24;2019-01-04;Weihnachten
2019-01-31;2019-02-01;Zeugnisferien
2019-04-08;2019-04-23;Ostern
2019-05-30;2019-05-30;Himmelfahrt
2019-06-11;2019-06-11;Pfingsten
2019-07-04;2019-08-14;Sommer
2019-10-04;2019-10-18;Herbst
2019-12-23;2020-01-06;Weihnachten
2020-02-03;2020-02-04;Zeugnisferien
2020-03-30;2020-04-14;Ostern
2020-05-22;2020-05-22;Himmelfahrt
2020-06-02;2020-06-02;Pfingsten
2020-07-16;2020-08-26;Sommer
2020-10-12;2020-10-23;Herbst
2020-12-23;2021-01-08;Weihnachten
2021-02-01;2021-02-02;Zeugnisferien
2021-03-29;2021-04-09;Ostern
2021-05-14;2021-05-14;Himmelfahrt
2021-05-25;2021-05-25;Himmelfahrt
2021-07-22;2021-09-01;Sommer
2021-10-18;2021-10-29;Herbst
2021-12-23;2022-01-07;Weihnachten
2022-01-31;2022-02-01;Zeugnisferien
2022-04-04;2022-04-19;Ostern
2022-05-27;2022-05-27;Himmelfahrt
2022-06-07;2022-06-07;Pfingsten
2022-07-14;2022-08-24;Sommer
2022-10-17;2022-10-28;Herbst
2022-12-23;2023-01-06;Weihnachten
2023-01-30;2023-01-31;Zeugnisferien
2023-03-27;2023-04-11;Ostern
2023-05-19;2023-05-19;Himmelfahrt
2023-05-30;2023-05-30;Pfingsten
2023-07-06;2023-08-16;Sommer
2023-10-02;2023-10-02;Tag dt. Einheit
2023-10-16;2023-10-30;Herbst
2023-12-27;2024-01-05;Weihnachten
2024-02-01;2024-02-02;Zeugnisferien
2024-03-18;2024-03-28;Ostern
2024-05-10;2024-05-10;Himmelfahrt
2024-05-21;2024-05-21;Pfingsten
2024-06-24;2024-08-02;Sommer
2024-10-04;2024-10-18;Herbst
2024-11-01;2024-11-01;Herbst
2024-12-23;2025-01-04;Weihnachten
2025-02-03;2025-02-04;Zeugnisferien
2025-04-07;2025-04-18;Ostern
2025-04-30;2025-05-02;Ostern
2025-05-30;2025-05-30;Pfingsten
2025-06-10;2025-06-10;Pfingsten
2025-07-03;2025-08-13;Sommer
2025-10-13;2025-10-24;Herbst
2025-12-22;2026-01-05;Weihnachten
2026-02-02;2026-02-03;Zeugnisferien
2026-03-23;2026-04-07;Ostern
2026-05-15;2026-05-15;Ostern
2026-05-26;2026-05-26;Pfingsten
2026-07-02;2026-08-12;Sommer
2026-10-12;2026-10-24;Herbst
2026-12-23;2027-01-08;Weihnachten
